userid	time	tz	gps_time	altitude	longitude	latitude	speed	heading	horizontal_accuracy	horizontal_dop	vertical_accuracy	vertical_dop	speed_accuracy	heading_accuracy	time_since_gps_boot
123	1254397075	-7200	1254397075	479.5	7.0837417543	46.109597838	42.263999175999999	151.41000366200001	48.263065338099999	4.2899999618500004	41.0	2.61999988556	5.9759998798399998	0.56999999284699998	34.0
123	1254397085	-7200	1254397085	503.0	7.08432111123	46.1088218417	23.615999794	144.69000244099999	46.406501769999998	3.8099999427800002	20.0	2.1400001048999999	5.9759998798399998	1.3300000429200001	44.0
123	1254397095	-7200	1254397095	503.0	7.08483215567	46.1089106899	15.6240005493	86.269996643100001	115.94455719	2.4100000858300001	103.0	3.6900000572199998	8.4959996223399994	5.5199999809299998	54.0
123	1254397105	-7200	1254397105	502.0	7.08512225323	46.1087982886	7.9920001029999996	13.9099998474	116.457756042	4.4499998092700004	106.0	4.8899998664900002	9.3959996223399997	33.430000305199997	64.0
123	1254397115	-7200	1254397115	503.0	7.08516533619	46.1087865539	5.6159997940100004	206.60000610399999	40.187774658199999	1.2999999523200001	38.5	2.3199999332400001	6.4079998969999998	56.669998168900001	74.0
123	1254397125	-7200	1254397125	512.0	7.08500867848	46.1088048265	5.4719999313400001	311.44000244099999	19.6297473907	1.1200000047700001	23.5	1.3500000238400001	4.392000103	37.430000305199997	84.0
123	1254397135	-7200	1254397135	510.0	7.08486920367	46.1088980332	5.5439998626699998	315.70001220699999	64.775901794399999	5.0199999809299998	64.0	4.9699997901900002	3.74399986267	20.030000686600001	94.0
123	1254397145	-7200	1254397145	512.5	7.08468211966	46.1089613165	7.4159997940100002	290.85998535200002	92.563957214400006	2.5699999332400001	38.0	1.84000003338	22.463999176000002	12.420000076299999	104.0
123	1254397155	-7200	1254397155	513.5	7.08457407697	46.1089966043	4.6439998626700003	321.29998779300001	37.229351043699999	1.7000000476799999	146.0	2.5299999713900001	21.924000549300001	342.010009766	114.0
123	1254410880	-7200	1254410880	543.0	7.07019534661	46.0986172976			125.929244995	2.53999996185	30.5	0.93999999761599995			32.0
123	1254410889	-7200	1254410889	542.0	7.06986610558	46.098161406			163.79254150400001	2.5299999713900001	12.0	0.93999999761599995			41.0
123	1254410899	-7200	1254410899	541.5	7.06976460077	46.0980803531			221.91954040499999	2.5899999141699999	5.0	0.97000002861000001			51.0
