userid	time	tz	gps_time	altitude	longitude	latitude	speed	heading	horizontal_accuracy	horizontal_dop	vertical_accuracy	vertical_dop	speed_accuracy	heading_accuracy	time_since_gps_boot
005	1256810122	-7200	1256810122	432.5	6.59142155389	46.5235700722	11.592000103	44.1199989319	100.18642425500001	4.5700001716600003	95.0	2.9900000095400001	6.1920001029999998	35.3699989319	27.0
005	1256810132	-7200	1256810132	443.5	6.59250952451	46.523855895	43.307999038699997	63.650001525900002	30.225734710699999	1.26999998093	31.0	1.69000005722	4.4640000343299997	0.20000000298000001	37.0
005	1256810142	-7200	1256810142	445.0	6.59407962202	46.5241474175	43.307999038699997	63.650001525900002	93.326202392599996	1.4199999570799999	68.0	1.9700000286099999	4.4640000343299997	0.20000000298000001	47.0
005	1256810152	-7200	1256810152	445.5	6.59601374544	46.5238977207	43.307999038699997	63.650001525900002	43.832977294899997	1.28999996185	13.5	0.99000000953699996	4.4640000343299997	0.20000000298000001	57.0
005	1256810162	-7200	1256810162	453.5	6.59770546432	46.5233855028	48.275999450699999	106.209999084	37.742546081500002	1.5800000429200001	90.5	2.71000003815	14.615999794	0.89999997615799998	67.0
005	1256810172	-7200	1256810172	471.0	6.59956549175	46.5231648912	48.275999450699999	106.209999084	26.9578838348	1.5800000429200001	52.5	2.7000000476800001	14.615999794	0.89999997615799998	77.0
005	1256810182	-7200	1256810182	480.5	6.60096778362	46.523396986	34.4879997253	70.830001831100006	27.425798416100001	2.8599998951000001	39.5	4.0199999809299998	27.899999999999999	0.28999999165500001	87.0
005	1256810192	-7200	1256810192	474.5	6.60178007355	46.523669733	18.1800006866	52.720001220699999	32.195503234900002	2.6800000667599999	48.5	3.96000003815	10.584000206000001	2.53999996185	97.0
005	1256810202	-7200	1256810202	474.5	6.60293861976	46.5239521192	18.1800006866	52.720001220699999	115.03891754199999	2.6800000667599999	203.0	3.9700000286099999	10.584000206000001	2.53999996185	107.0
005	1256810212	-7200	1256810212	475.0	6.60507030457	46.5238931944	53.639998626699999	105.30000305199999	45.832931518599999	1.2799999713900001	66.0	1.67999994755	25.847999382000001	1.2599999904600001	117.0
005	1256810222	-7200	1256810221	485.0	6.60640294285	46.5235942959	53.639998626699999	105.30000305199999	70.262573242200006	1.6200000047700001	131.0	2.4300000667599999	25.847999382000001	1.2599999904600001	126.0
005	1256810231	-7200	1256810231	496.0	6.60817973802	46.5232430105	53.639998626699999	105.30000305199999	123.891555786	1.76999998093	461.0	7.0700001716600003	25.847999382000001	1.2599999904600001	136.0
005	1256810241	-7200	1256810241	490.0	6.61043103254	46.5226218279	53.639998626699999	105.30000305199999	53.530872344999999	1.8500000238400001	19.0	1.0	25.847999382000001	1.2599999904600001	146.0
005	1256810251	-7200	1256810251	492.0	6.61220514549	46.5218554707	47.807999038699997	119.58999633800001	31.093639373799999	1.8500000238400001	9.5	0.97000002861000001	40.068000412000004	2.1800000667599999	156.0
005	1256810261	-7200	1256810261	492.5	6.61352428891	46.5214539777	20.484000206000001	118.129997253	109.823944092	2.71000003815	240.0	3.9900000095400001	29.016001510599999	8.07999992371	166.0
005	1256810271	-7200	1256810271	492.5	6.61372470014	46.5213821448	0.071999998390699996	168.14999389600001	110.827697754	2.71000003815	315.5	3.9900000095400001	1.3320000171699999	359.989990234	176.0
005	1256810281	-7200	1256810281	492.0	6.61374188304	46.521382061	0.61200000643700003	178.25999450699999	49.583789825399997	4.2800002098099998	55.0	4.25	2.3039999485	359.989990234	186.0
005	1256810291	-7200	1256810291	492.0	6.6142512511	46.5211558335	26.028000068699999	119.69999694800001	115.85399627699999	2.7200000286099999	261.5	3.9900000095400001	7.0920001030000002	1.5800000429200001	196.0
005	1256810301	-7200	1256810301	492.0	6.61547308066	46.5209378203	39.600000000000001	110.169998169	25.063587188700001	1.8600000143099999	2.5	1.0	26.8199993134	2.8099999427800002	206.0
005	1256810311	-7200	1256810311	492.0	6.61707662195	46.5207463777	41.436000823999997	93.050003051800005	45.6668968201	3.46000003815	56.0	5.0199999809299998	30.563999175999999	0.68999999761599995	216.0
005	1256810321	-7200	1256810321	492.0	6.61873992619	46.5207571066	46.404001235999999	88.330001831100006	119.65013885499999	4.1999998092700004	171.5	4.2300000190700002	8.9640000343300006	0.18000000715299999	226.0
005	1256810331	-7200	1256810331	493.5	6.61978037143	46.5207767202	46.404001235999999	88.330001831100006	68.338081359900002	1.8600000143099999	14.0	0.97000002861000001	8.9640000343300006	0.18000000715299999	236.0
005	1256810351	-7200	1256810351	497.5	6.62184474959	46.5211497986	46.404001235999999	88.330001831100006	77.598251342799998	1.8899999856900001	129.5	3.4300000667599999	8.9640000343300006	0.18000000715299999	256.0
005	1256810361	-7200	1256810361	498.0	6.62200685553	46.5212568354	1.3320000171699999	143.91000366200001	42.285842895499997	1.4900000095399999	5.5	0.99000000953699996	19.8719999313	359.989990234	266.0
005	1256810371	-7200	1256810371	498.5	6.62201674617	46.5213011757	0.39599999785399997	132.69999694800001	39.953819274899999	1.98000001907	4.5	1.0	12.384000206	359.989990234	276.0
005	1256810381	-7200	1256810381	498.5	6.62213727789	46.5212733478	0.39599999785399997	132.69999694800001	117.876594543	1.6200000047700001	2.0	0.95999997854200003	12.384000206	359.989990234	286.0
